,Name,Title,Cusip,Ticker,Category,Value,Pct
0,Taiwan Semiconductor Manufacturing Co Ltd,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,000000000,None,CORP EC,685720844,13.8
1,Tencent Holdings Ltd,TENCENT HOLDINGS LTD,000000000,None,CORP EC,299259577,6.0
2,Yum China Holdings Inc,YUM CHINA HOLDINGS INC,98850P109,None,CORP EC,178066570,3.6
3,Kotak Mahindra Bank Ltd,KOTAK MAHINDRA BANK LTD,000000000,None,CORP EC,124301923,2.5
4,Samsung Electronics Co Ltd,SAMSUNG ELECTRONICS CO LTD,000000000,None,CORP EC,117958427,2.4
5,Infosys Ltd,INFOSYS LTD,000000000,None,CORP EC,102382760,2.1
6,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund,76105Y109,None,RF STIV,97865896,2.0
7,Bank Central Asia Tbk PT,BANK CENTRAL ASIA TBK PT,000000000,None,CORP EC,94754406,1.9
8,ICICI Bank Ltd,ICICI BANK LTD,000000000,None,CORP EC,91696525,1.9
9,Alibaba Group Holding Ltd,ALIBABA GROUP HOLDING LTD,01609W102,None,CORP EC,88976756,1.8
10,Saudi National Bank/The,SAUDI NATIONAL BANK/THE,000000000,None,CORP EC,87142509,1.8
11,PDD Holdings Inc,PDD HOLDINGS INC,722304102,None,CORP EC,84811441,1.7
12,MediaTek Inc,MEDIATEK INC,000000000,None,CORP EC,82976313,1.7
13,Al Rajhi Bank,AL RAJHI BANK,000000000,None,CORP EC,81172221,1.6
14,Reliance Industries Ltd,RELIANCE INDUSTRIES LTD,000000000,None,CORP EC,72784425,1.5
15,Jeronimo Martins SGPS SA,JERONIMO MARTINS SGPS SA,000000000,None,CORP EC,67407015,1.4
16,Wal-Mart de Mexico SAB de CV,WAL-MART DE MEXICO SAB DE CV,000000000,None,CORP EC,65814350,1.3
17,Meituan,MEITUAN,000000000,None,CORP EC,65529095,1.3
18,Xiaomi Corp,XIAOMI CORP,000000000,None,CORP EC,64937248,1.3
19,OTP Bank Nyrt,OTP BANK NYRT,000000000,None,CORP EC,63532263,1.3
20,Jardine Matheson Holdings Ltd,JARDINE MATHESON HOLDINGS LTD,000000000,None,CORP EC,63018920,1.3
21,OPPLE LIGHTING CO LTD,YIFENG PHARMACY CHAIN CO LTD,000000000,603939,CORP EC,62578013,1.3
22,NetEase Inc,NETEASE INC,64110W102,None,CORP EC,60711326,1.2
23,Larsen & Toubro Ltd,LARSEN & TOUBRO LTD,000000000,None,CORP EC,60141206,1.2
24,KB Financial Group Inc,KB FINANCIAL GROUP INC,000000000,None,CORP EC,58183381,1.2
25,HDFC Life Insurance Co Ltd,HDFC LIFE INSURANCE CO LTD,000000000,None,CORP EC,54806187,1.1
26,Bharti Airtel Ltd,BHARTI AIRTEL LTD,000000000,None,CORP EC,54459614,1.1
27,SK Hynix Inc,SK HYNIX INC,000000000,None,CORP EC,54178070,1.1
28,Raia Drogasil SA,RAIA DROGASIL SA,000000000,None,CORP EC,52753493,1.1
29,Bank for Foreign Trade of Vietnam JSC,BANK FOR FOREIGN TRADE OF VIETNAM JSC,000000000,None,CORP EC,52545944,1.1
30,WEG SA,WEG SA,000000000,None,CORP EC,51724119,1.0
31,Qatar National Bank QPSC,QATAR NATIONAL BANK QPSC,000000000,None,CORP EC,51366800,1.0
32,Petroleo Brasileiro SA,PETROLEO BRASILEIRO SA,71654V408,None,CORP EC,49928768,1.0
33,ZTO Express Cayman Inc,ZTO EXPRESS CAYMAN INC,98980A105,None,CORP EC,47392649,1.0
34,BDO Unibank Inc,BDO UNIBANK INC,000000000,None,CORP EC,44212222,0.9
35,Bank Mandiri Persero Tbk PT,BANK MANDIRI PERSERO TBK PT,000000000,None,CORP EC,44195195,0.9
36,Erste Group Bank AG,ERSTE GROUP BANK AG,000000000,None,CORP EC,43809960,0.9
37,SCB X PCL,SCB X PCL,000000000,None,CORP EC,42355269,0.9
