,Name,Title,Cusip,Ticker,Category,Value,Pct
0,Microsoft Corp,MICROSOFT CORP,594918104,None,CORP EC,6117037296,11.8
1,Apple Inc,APPLE INC,037833100,None,CORP EC,6100537464,11.8
2,NVIDIA Corp,NVIDIA CORP,67066G104,None,CORP EC,5719825922,11.0
3,Amazon.com Inc,AMAZON.COM INC,023135106,None,CORP EC,4440243205,8.6
4,Alphabet Inc,ALPHABET INC,02079K305,None,CORP EC,3301683333,6.4
5,Meta Platforms Inc,META PLATFORMS INC,30303M102,None,CORP EC,2538246158,4.9
6,Eli Lilly & Co,ELI LILLY & CO,532457108,None,CORP EC,1429526296,2.8
7,Visa Inc,VISA INC,92826C839,None,CORP EC,1329957948,2.6
8,Tesla Inc,TESLA INC,88160R101,None,CORP EC,1233629836,2.4
9,Mastercard Inc,MASTERCARD INC,57636Q104,None,CORP EC,1093522653,2.1
10,ServiceNow Inc,SERVICENOW INC,81762P102,None,CORP EC,1078696483,2.1
11,Netflix Inc,NETFLIX INC,64110L106,None,CORP EC,991826135,1.9
12,Intuitive Surgical Inc,INTUITIVE SURGICAL INC,46120E602,None,CORP EC,784953722,1.5
13,Shopify Inc,SHOPIFY INC,82509L107,None,CORP EC,611893742,1.2
14,Bytedance Ltd,BYTEDANCE LTD CVT PFD SR E PP,000000000,None,CORP EP,591844234,1.1
15,Broadcom Inc,BROADCOM INC,11135F101,None,CORP EC,587320272,1.1
16,Intuit Inc,INTUIT INC,461202103,None,CORP EC,584136699,1.1
17,Chipotle Mexican Grill Inc,CHIPOTLE MEXICAN GRILL INC,169656105,None,CORP EC,552693398,1.1
18,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund,76105Y109,None,RF STIV,482837536,0.9
19,Synopsys Inc,SYNOPSYS INC,871607107,None,CORP EC,480947107,0.9
20,Lululemon Athletica Inc,LULULEMON ATHLETICA INC,550021109,None,CORP EC,468163148,0.9
21,Danaher Corp,DANAHER CORP,235851102,None,CORP EC,451996116,0.9
22,AppLovin Corp,APPLOVIN CORP,03831W108,None,CORP EC,438207404,0.8
23,UnitedHealth Group Inc,UNITEDHEALTH GROUP INC,91324P102,None,CORP EC,436228877,0.8
24,Argenx SE,ARGENX SE,04016X101,None,CORP EC,406492245,0.8
25,Teledyne Technologies Inc,TELEDYNE TECHNOLOGIES INC,879360105,None,CORP EC,400300058,0.8
26,Fiserv Inc,FISERV INC,337738108,None,CORP EC,395178779,0.8
27,Boeing Co/The,BOEING CO/THE,097023105,None,CORP EC,382040163,0.7
28,Amphenol Corp,AMPHENOL CORP,032095101,None,CORP EC,378242201,0.7
29,Spotify Technology SA,SPOTIFY TECHNOLOGY SA,000000000,None,CORP EC,371607249,0.7
30,Roper Technologies Inc,ROPER TECHNOLOGIES INC,776696106,None,CORP EC,343726380,0.7
31,Coupang Inc,COUPANG INC,22266T109,None,CORP EC,339750751,0.7
32,HubSpot Inc,HUBSPOT INC,443573100,None,CORP EC,329127671,0.6
33,Autodesk Inc,AUTODESK INC,052769106,None,CORP EC,324511623,0.6
34,Charles Schwab Corp/The,CHARLES SCHWAB CORP/THE,808513105,None,CORP EC,309736365,0.6
35,Ferrari NV,FERRARI NV,000000000,None,CORP EC,299129844,0.6
36,Booking Holdings Inc,BOOKING HOLDINGS INC,09857L108,None,CORP EC,294368948,0.6
37,Starbucks Corp,STARBUCKS CORP,855244109,None,CORP EC,276560591,0.5
38,Linde PLC,LINDE PLC,000000000,None,CORP EC,272725406,0.5
39,Atlassian Corp,ATLASSIAN CORP,049468101,None,CORP EC,255963963,0.5
40,Thermo Fisher Scientific Inc,THERMO FISHER SCIENTIFIC INC,883556102,None,CORP EC,253773396,0.5
41,ASML Holding NV,ASML HOLDING NV,N07059210,None,CORP EC,253538367,0.5
42,Taiwan Semiconductor Manufacturing Co Ltd,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,874039100,None,CORP EC,253109504,0.5
43,Salesforce Inc,SALESFORCE INC,79466L302,None,CORP EC,228783356,0.4
44,Rockwell Automation Inc,ROCKWELL AUTOMATION INC,773903109,None,CORP EC,223483493,0.4
45,Cigna Group/The,CIGNA GROUP/THE,125523100,None,CORP EC,220946518,0.4
46,Snowflake Inc,SNOWFLAKE INC,833445109,None,CORP EC,217718100,0.4
47,Dynatrace Inc,DYNATRACE INC,268150109,None,CORP EC,217247385,0.4
48,Pinterest Inc,PINTEREST INC,72352L106,None,CORP EC,206890640,0.4
49,Stryker Corp,STRYKER CORP,863667101,None,CORP EC,197367528,0.4
50,Natera Inc,NATERA INC,632307104,None,CORP EC,184051611,0.4
51,Old Dominion Freight Line Inc,OLD DOMINION FREIGHT LINE INC,679580100,None,CORP EC,170577742,0.3
52,MercadoLibre Inc,MERCADOLIBRE INC,58733R102,None,CORP EC,167367507,0.3
