,Name,Title,Cusip,Ticker,Category,Value,Pct
0,Corning Inc,CORNING INC,219350105,None,CORP EC,470653476,3.0
1,Kenvue Inc,KENVUE INC,49177J102,None,CORP EC,300810227,1.9
2,Zimmer Biomet Holdings Inc,ZIMMER BIOMET HOLDINGS INC,98956P102,None,CORP EC,283971256,1.8
3,Corpay Inc,CORPAY INC,219948106,None,CORP EC,259075400,1.7
4,PG&E Corp,PG&E CORP,69331C108,None,CORP EC,218112483,1.4
5,Expand Energy Corp,EXPAND ENERGY CORP,165167735,None,CORP EC,217850939,1.4
6,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund,76105Y109,None,RF STIV,217073220,1.4
7,Southwest Airlines Co,SOUTHWEST AIRLINES CO,844741108,None,CORP EC,213650124,1.4
8,Fortinet Inc,FORTINET INC,34959E109,None,CORP EC,209795958,1.3
9,FirstEnergy Corp,FIRSTENERGY CORP,337932107,None,CORP EC,207102716,1.3
10,Saia Inc,SAIA INC,78709Y105,None,CORP EC,204342496,1.3
11,Keysight Technologies Inc,KEYSIGHT TECHNOLOGIES INC,49338L103,None,CORP EC,203080975,1.3
12,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund - Collateral,76105YYY8,None,RF STIV,197098639,1.3
13,Fifth Third Bancorp,FIFTH THIRD BANCORP,316773100,None,CORP EC,196208246,1.3
14,L3Harris Technologies Inc,L3HARRIS TECHNOLOGIES INC,502431109,None,CORP EC,195495003,1.2
15,Ameren Corp,AMEREN CORP,023608102,None,CORP EC,194974674,1.2
16,Norfolk Southern Corp,NORFOLK SOUTHERN CORP,655844108,None,CORP EC,192773192,1.2
17,Concentra Group Holdings Parent Inc,CONCENTRA GROUP HOLDINGS PARENT INC,20603L102,None,CORP EC,191112857,1.2
18,Sun Communities Inc,SUN COMMUNITIES INC,866674104,None,CORP EC,189050020,1.2
19,Stanley Black & Decker Inc,STANLEY BLACK & DECKER INC,854502101,None,CORP EC,186788744,1.2
20,Western Digital Corp,WESTERN DIGITAL CORP,958102105,None,CORP EC,184638511,1.2
21,Advance Auto Parts Inc,ADVANCE AUTO PARTS INC,00751Y106,None,CORP EC,183592974,1.2
22,Select Medical Holdings Corp,SELECT MEDICAL HOLDINGS CORP,81619Q105,None,CORP EC,176219244,1.1
23,Popular Inc,POPULAR INC,733174700,None,CORP EC,172952355,1.1
24,DocuSign Inc,DOCUSIGN INC,256163106,None,CORP EC,170939424,1.1
25,API Group Corp,API GROUP CORP,00187Y100,None,CORP EC,170850702,1.1
26,MKS Instruments Inc,MKS INSTRUMENTS INC,55306N104,None,CORP EC,170829537,1.1
27,Western Union Co/The,WESTERN UNION CO/THE,959802109,None,CORP EC,169361224,1.1
28,Tyson Foods Inc,TYSON FOODS INC,902494103,None,CORP EC,165356893,1.1
29,Regency Centers Corp,REGENCY CENTERS CORP,758849103,None,CORP EC,164895986,1.1
30,Equity Residential,EQUITY RESIDENTIAL,29476L107,None,CORP EC,164717545,1.1
31,Baxter International Inc,BAXTER INTERNATIONAL INC,071813109,None,CORP EC,162600097,1.0
32,Bath & Body Works Inc,BATH & BODY WORKS INC,070830104,None,CORP EC,161494225,1.0
33,Global Payments Inc,GLOBAL PAYMENTS INC,37940X102,None,CORP EC,160326819,1.0
34,RenaissanceRe Holdings Ltd,RENAISSANCERE HOLDINGS LTD,000000000,None,CORP EC,159469793,1.0
35,Weyerhaeuser Co,WEYERHAEUSER CO,962166104,None,CORP EC,156230361,1.0
36,TE Connectivity PLC,TE CONNECTIVITY PLC,000000000,None,CORP EC,155690041,1.0
37,Summit Materials Inc,SUMMIT MATERIALS INC,86614U100,None,CORP EC,153928590,1.0
38,Zebra Technologies Corp,ZEBRA TECHNOLOGIES CORP,989207105,None,CORP EC,150302148,1.0
39,Alkermes PLC,ALKERMES PLC,000000000,None,CORP EC,149535549,1.0
40,Puma SE,PUMA SE,000000000,None,CORP EC,145891174,0.9
41,Rexford Industrial Realty Inc,REXFORD INDUSTRIAL REALTY INC,76169C100,None,CORP EC,143578678,0.9
42,GoDaddy Inc,GODADDY INC,380237107,None,CORP EC,143228448,0.9
43,Baker Hughes Co,BAKER HUGHES CO,05722G100,None,CORP EC,143164763,0.9
44,SS&C Technologies Holdings Inc,SS&C TECHNOLOGIES HOLDINGS INC,78467J100,None,CORP EC,140912910,0.9
45,Esab Corp,ESAB CORP,29605J106,None,CORP EC,139795707,0.9
46,Western Alliance Bancorp,WESTERN ALLIANCE BANCORP,957638109,None,CORP EC,139355664,0.9
47,AGCO Corp,AGCO CORP,001084102,None,CORP EC,138516794,0.9
48,Kinder Morgan Inc,KINDER MORGAN INC,49456B101,None,CORP EC,134520738,0.9
49,DENTSPLY SIRONA Inc,DENTSPLY SIRONA INC,24906P109,None,CORP EC,133999920,0.9
50,Vornado Realty Trust,VORNADO REALTY TRUST,929042109,None,CORP EC,133471619,0.9
51,Toro Co/The,TORO CO/THE,891092108,None,CORP EC,133241384,0.9
52,Fortive Corp,FORTIVE CORP,34959J108,None,CORP EC,132616425,0.8
53,Corebridge Financial Inc,COREBRIDGE FINANCIAL INC,21871X109,None,CORP EC,131039795,0.8
54,Dominion Energy Inc,DOMINION ENERGY INC,25746U109,None,CORP EC,130052241,0.8
55,DuPont de Nemours Inc,DUPONT DE NEMOURS INC,26614N102,None,CORP EC,125385576,0.8
56,VF Corp,VF CORP,918204108,None,CORP EC,125319554,0.8
57,International Paper Co,INTERNATIONAL PAPER CO,460146103,None,CORP EC,123137092,0.8
58,Allstate Corp/The,ALLSTATE CORP/THE,020002101,None,CORP EC,122772335,0.8
59,Webster Financial Corp,WEBSTER FINANCIAL CORP,947890109,None,CORP EC,120928873,0.8
60,Morningstar Inc,MORNINGSTAR INC,617700109,None,CORP EC,120510913,0.8
61,TechnipFMC PLC,TECHNIPFMC PLC,000000000,None,CORP EC,120398648,0.8
62,Franco-Nevada Corp,FRANCO-NEVADA CORP,000000000,None,CORP EC,119917159,0.8
