,Name,Title,Cusip,Ticker,Category,Value,Pct
0,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund,76105Y109,None,RF STIV,855915972,4.3
1,Dayforce Inc,DAYFORCE INC,15677J108,None,CORP EC,664105026,3.4
2,Teledyne Technologies Inc,TELEDYNE TECHNOLOGIES INC,879360105,None,CORP EC,546538138,2.8
3,BILL Holdings Inc,BILL HOLDINGS INC,090043100,None,CORP EC,529627081,2.7
4,HubSpot Inc,HUBSPOT INC,443573100,None,CORP EC,504288681,2.5
5,Toast Inc,TOAST INC,888787108,None,CORP EC,490116760,2.5
6,Argenx SE,ARGENX SE,04016X101,None,CORP EC,489847500,2.5
7,Paylocity Holding Corp,PAYLOCITY HOLDING CORP,70438V106,None,CORP EC,488680755,2.5
8,Bio-Techne Corp,BIO-TECHNE CORP,09073M104,None,CORP EC,476501284,2.4
9,Corpay Inc,CORPAY INC,219948106,None,CORP EC,452654348,2.3
10,IDEX Corp,IDEX CORP,45167R104,None,CORP EC,442713230,2.2
11,Veeva Systems Inc,VEEVA SYSTEMS INC,922475108,None,CORP EC,439449202,2.2
12,Saia Inc,SAIA INC,78709Y105,None,CORP EC,433342719,2.2
13,Globant SA,GLOBANT SA,000000000,None,CORP EC,424518579,2.1
14,Esab Corp,ESAB CORP,29605J106,None,CORP EC,365356310,1.8
15,SiteOne Landscape Supply Inc,SITEONE LANDSCAPE SUPPLY INC,82982L103,None,CORP EC,360510202,1.8
16,Ingersoll Rand Inc,INGERSOLL RAND INC,45687V106,None,CORP EC,353275790,1.8
17,Insmed Inc,INSMED INC,457669307,None,CORP EC,327974175,1.7
18,MACOM Technology Solutions Holdings Inc,MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,55405Y100,None,CORP EC,324213789,1.6
19,Roper Technologies Inc,ROPER TECHNOLOGIES INC,776696106,None,CORP EC,318848958,1.6
20,Old Dominion Freight Line Inc,OLD DOMINION FREIGHT LINE INC,679580100,None,CORP EC,311105567,1.6
21,Samsara Inc,SAMSARA INC,79589L106,None,CORP EC,308702530,1.6
22,TechnipFMC PLC,TECHNIPFMC PLC,000000000,None,CORP EC,306443084,1.5
23,RBC Bearings Inc,RBC BEARINGS INC,75524B104,None,CORP EC,306112056,1.5
24,Toro Co/The,TORO CO/THE,891092108,None,CORP EC,291922848,1.5
25,Hubbell Inc,HUBBELL INC,443510607,None,CORP EC,281578696,1.4
26,Monday.com Ltd,MONDAY.COM LTD,000000000,None,CORP EC,267426172,1.4
27,Reliance Inc,RELIANCE INC,759509102,None,CORP EC,260601945,1.3
28,Entegris Inc,ENTEGRIS INC,29362U104,None,CORP EC,246746078,1.2
29,Descartes Systems Group Inc/The,DESCARTES SYSTEMS GROUP INC/THE,249906108,None,CORP EC,246744426,1.2
30,Booz Allen Hamilton Holding Corp,BOOZ ALLEN HAMILTON HOLDING CORP,099502106,None,CORP EC,239318294,1.2
31,Datadog Inc,DATADOG INC,23804L103,None,CORP EC,239210149,1.2
32,Monolithic Power Systems Inc,MONOLITHIC POWER SYSTEMS INC,609839105,None,CORP EC,236022030,1.2
33,Floor & Decor Holdings Inc,FLOOR & DECOR HOLDINGS INC,339750101,None,CORP EC,234628596,1.2
34,Alnylam Pharmaceuticals Inc,ALNYLAM PHARMACEUTICALS INC,02043Q107,None,CORP EC,233418343,1.2
35,Weatherford International PLC,WEATHERFORD INTERNATIONAL PLC,000000000,None,CORP EC,214106583,1.1
36,GoDaddy Inc,GODADDY INC,380237107,None,CORP EC,203957421,1.0
37,Repligen Corp,REPLIGEN CORP,759916109,None,CORP EC,200439761,1.0
38,Blueprint Medicines Corp,BLUEPRINT MEDICINES CORP,09627Y109,None,CORP EC,178938459,0.9
39,Scholar Rock Holding Corp,SCHOLAR ROCK HOLDING CORP,80706P103,None,CORP EC,174267319,0.9
40,Procore Technologies Inc,PROCORE TECHNOLOGIES INC,74275K108,None,CORP EC,172856916,0.9
41,Lattice Semiconductor Corp,LATTICE SEMICONDUCTOR CORP,518415104,None,CORP EC,167797470,0.8
42,N/A,DATABRICKS SER F CVT PFD STCK PP,TC9IB3734,None,CORP EP,164902432,0.8
43,Novanta Inc,NOVANTA INC,67000B104,None,CORP EC,161317176,0.8
44,API Group Corp,API GROUP CORP,00187Y100,None,CORP EC,130119784,0.7
45,Avidity Biosciences Inc,AVIDITY BIOSCIENCES INC,05370A108,None,CORP EC,128763216,0.7
46,N/A,Service Titan Class A Common Stock lockup,000000000,None,CORP EC,127842001,0.6
47,Sartorius AG,SARTORIUS AG,000000000,None,CORP EP,126188392,0.6
48,Kymera Therapeutics Inc,KYMERA THERAPEUTICS INC,501575104,None,CORP EC,124470856,0.6
49,StepStone Group Inc,STEPSTONE GROUP INC,85914M107,None,CORP EC,123469095,0.6
50,Wingstop Inc,WINGSTOP INC,974155103,None,CORP EC,123446817,0.6
51,Trex Co Inc,TREX CO INC,89531P105,None,CORP EC,121645563,0.6
52,Hamilton Lane Inc,HAMILTON LANE INC,407497106,None,CORP EC,120259979,0.6
53,Vaxcyte Inc,VAXCYTE INC,92243G108,None,CORP EC,118733018,0.6
54,Crinetics Pharmaceuticals Inc,CRINETICS PHARMACEUTICALS INC,22663K107,None,CORP EC,109622311,0.6
55,MSA Safety Inc,MSA SAFETY INC,553498106,None,CORP EC,105589191,0.5
56,Natera Inc,NATERA INC,632307104,None,CORP EC,99892682,0.5
57,Ascendis Pharma A/S,ASCENDIS PHARMA A/S,04351P101,None,CORP EC,88603448,0.4
58,Five Below Inc,FIVE BELOW INC,33829M101,None,CORP EC,88564933,0.4
59,N/A,NATIONAL RESILIENCE SER B CVT PFD STOCK,000000000,None,CORP EP,84462989,0.4
60,REVOLUTION Medicines Inc,REVOLUTION MEDICINES INC,76155X100,None,CORP EC,84018679,0.4
61,FirstService Corp,FIRSTSERVICE CORP,33767E202,None,CORP EC,81352379,0.4
62,West Pharmaceutical Services Inc,WEST PHARMACEUTICAL SERVICES INC,955306105,None,CORP EC,80326556,0.4
63,Brinker International Inc,BRINKER INTERNATIONAL INC,109641100,None,CORP EC,73407721,0.4
64,Cava Group Inc,CAVA GROUP INC,148929102,None,CORP EC,71131680,0.4
65,Vera Therapeutics Inc,VERA THERAPEUTICS INC,92337R101,None,CORP EC,66535914,0.3
66,Madrigal Pharmaceuticals Inc,MADRIGAL PHARMACEUTICALS INC,558868105,None,CORP EC,60985466,0.3
67,Atmus Filtration Technologies Inc,ATMUS FILTRATION TECHNOLOGIES INC,04956D107,None,CORP EC,60805244,0.3
68,Replimune Group Inc,REPLIMUNE GROUP INC,76029N106,None,CORP EC,57283146,0.3
69,Moncler SpA,MONCLER SPA,000000000,None,CORP EC,53280679,0.3
70,VF Corp,VF CORP,918204108,None,CORP EC,51637996,0.3
71,N/A,ZENPAYROLL INC CVT PFD SER C PP,000000000,None,CORP EP,51229151,0.3
72,Ideaya Biosciences Inc,IDEAYA BIOSCIENCES INC,45166A102,None,CORP EC,50924396,0.3
73,SpringWorks Therapeutics Inc,SPRINGWORKS THERAPEUTICS INC,85205L107,None,CORP EC,50831731,0.3
74,Akero Therapeutics Inc,AKERO THERAPEUTICS INC,00973Y108,None,CORP EC,49548282,0.3
75,On Holding AG,ON HOLDING AG,000000000,None,CORP EC,46890843,0.2
76,Osisko Gold Royalties Ltd,OSISKO GOLD ROYALTIES LTD,000000000,None,CORP EC,44987833,0.2
77,Ionis Pharmaceuticals Inc,IONIS PHARMACEUTICALS INC,462222100,None,CORP EC,44122771,0.2
78,N/A,ZENPAYROLL (GUSTO) SER D,000000000,None,CORP EP,40840761,0.2
79,Arcellx Inc,ARCELLX INC,03940C100,None,CORP EC,40389172,0.2
80,Leidos Holdings Inc,LEIDOS HOLDINGS INC,525327102,None,CORP EC,40300641,0.2
81,Viper Energy Inc,VIPER ENERGY INC,927959106,None,CORP EC,39951567,0.2
82,Sartorius Stedim Biotech,SARTORIUS STEDIM BIOTECH,000000000,None,CORP EC,39681531,0.2
83,N/A,GUSTO INC PP,TC6CSL955,None,CORP EC,39593949,0.2
84,MongoDB Inc,MONGODB INC,60937P106,None,CORP EC,39142811,0.2
85,Arvinas Inc,ARVINAS INC,04335A105,None,CORP EC,38648445,0.2
86,Penumbra Inc,PENUMBRA INC,70975L107,None,CORP EC,37910832,0.2
87,Xencor Inc,XENCOR INC,98401F105,None,CORP EC,37139495,0.2
88,Celldex Therapeutics Inc,CELLDEX THERAPEUTICS INC,15117B202,None,CORP EC,36558438,0.2
89,MoonLake Immunotherapeutics,MOONLAKE IMMUNOTHERAPEUTICS,61559X104,None,CORP EC,36127580,0.2
90,Nuvalent Inc,NUVALENT INC,670703107,None,CORP EC,35556890,0.2
91,Cytokinetics Inc,CYTOKINETICS INC,23282W605,None,CORP EC,34215908,0.2
92,N/A,CHECKR INC,000000000,None,CORP EP,34091183,0.2
93,N/A,TANIUM INC CVT PFD 1/24 G PP,000000000,TC4UU33U,CORP EP,33824067,0.2
94,Disc Medicine Inc,DISC MEDICINE INC,254604101,None,CORP EC,33542087,0.2
95,Praxis Precision Medicines Inc,PRAXIS PRECISION MEDICINES INC,74006W207,None,CORP EC,32197216,0.2
96,Mirum Pharmaceuticals Inc,MIRUM PHARMACEUTICALS INC,604749101,None,CORP EC,31744684,0.2
97,Entrada Therapeutics Inc,ENTRADA THERAPEUTICS INC,29384C108,None,CORP EC,31425561,0.2
98,Ultragenyx Pharmaceutical Inc,ULTRAGENYX PHARMACEUTICAL INC,90400D108,None,CORP EC,31376732,0.2
99,N/A,DATABRICKS INC PP,000000000,None,CORP EC,31062240,0.2
100,Pliant Therapeutics Inc,PLIANT THERAPEUTICS INC,729139105,None,CORP EC,30809292,0.2
101,Caris Life Sciences Inc,CARIS LIFE SCIENCES SER C CVT PFD PP,TC104V422,None,CORP EP,27934441,0.1
102,Loar Holdings Inc,LOAR HOLDINGS INC,53947R105,None,CORP EC,27854610,0.1
103,Neurocrine Biosciences Inc,NEUROCRINE BIOSCIENCES INC,64125C109,None,CORP EC,27743488,0.1
104,N/A,CHECKR INC CVT PFD SR D PP,000000000,None,CORP EP,27740409,0.1
105,Nurix Therapeutics Inc,NURIX THERAPEUTICS INC,67080M103,None,CORP EC,27357903,0.1
106,BeiGene Ltd,BEIGENE LTD,07725L102,None,CORP EC,26429600,0.1
107,Prothena Corp PLC,PROTHENA CORP PLC,000000000,None,CORP EC,26176514,0.1
108,Bowhead Specialty Holdings Inc,BOWHEAD SPECIALTY HOLDINGS INC,10240L102,None,CORP EC,26138955,0.1
109,N/A,TREELINE BIO SER A CVT PFD STOCK PP,000000000,None,CORP EP,24949885,0.1
110,Monte Rosa Therapeutics Inc,MONTE ROSA THERAPEUTICS INC,61225M102,None,CORP EC,23618874,0.1
111,Dyne Therapeutics Inc,DYNE THERAPEUTICS INC,26818M108,None,CORP EC,23184171,0.1
112,AGCO Corp,AGCO CORP,001084102,None,CORP EC,22064645,0.1
113,N/A,EVOLVE VACA RENT NET CVT PFD SR 6 PP,000000000,TC37I2GN,CORP EP,21810086,0.1
114,N/A,INSITRO SER B CVT PFD PP,000000000,None,CORP EP,21759495,0.1
115,CCC Intelligent Solutions Holdings Inc,CCC INTELLIGENT SOLUTIONS HOLDINGS INC,12510Q100,None,CORP EC,20762464,0.1
116,N/A,EVOLVE VACA RENT NET CVT PFD SR 8 PP,000000000,TC2EB4ZJ,CORP EP,20632000,0.1
117,Cooper Cos Inc/The,COOPER COS INC/THE,216648501,None,CORP EC,20334916,0.1
118,WaVe Life Sciences Ltd,WAVE LIFE SCIENCES LTD,000000000,None,CORP EC,20236726,0.1
119,N/A,DATABRICKS SER G CVY PFD STCK PP,TC6XLXUH0,None,CORP EP,20002478,0.1
120,Standardaero Inc,STANDARDAERO INC,85423L103,None,CORP EC,19524968,0.1
121,SecurityScorecard Inc,SECURITYSCORECARD SER E CVT PFD STOCK PP,TC1O63I58,None,CORP EP,18996332,0.1
122,Curtiss-Wright Corp,CURTISS-WRIGHT CORP,231561101,None,CORP EC,18015685,0.1
123,N/A,TREELINE BIO SER A-1 CVT PFD STOCK PP,000000000,None,CORP EP,17466028,0.1
124,N/A,EVOLVE VACA RENT NET CVT PFD SR 5 PP,000000000,TC0OMGGB,CORP EP,16980755,0.1
125,Soleno Therapeutics Inc,SOLENO THERAPEUTICS INC,834203309,None,CORP EC,16760282,0.1
126,Caris Life Sciences Inc,CARIS LIFE SER D CVT PFD STOCK PP,TC13PNHL5,None,CORP EP,16413956,0.1
127,N/A,CHECKR INC COMMON STOCK PP,TC0RNCX31,None,CORP EC,16292895,0.1
128,N/A,ZENPAYROLL INC SER B-2 CVT PFD PP,TC2C3Z4Z4,None,CORP EP,16127011,0.1
129,Agios Pharmaceuticals Inc,AGIOS PHARMACEUTICALS INC,00847X104,None,CORP EC,15832671,0.1
130,N/A,INSITRO SER C CVT PFD PP,TC3HHHWL7,None,CORP EP,15759429,0.1
131,N/A,KARDIUM SERIES D6 CVT PFD STOCK PP,TC0GUUWU8,None,CORP EP,15684565,0.1
132,Merus NV,MERUS NV,000000000,None,CORP EC,15538190,0.1
133,Janux Therapeutics Inc,JANUX THERAPEUTICS INC,47103J105,None,CORP EC,15147430,0.1
134,Day One Biopharmaceuticals Inc,DAY ONE BIOPHARMACEUTICALS INC,23954D109,None,CORP EC,14503387,0.1
135,N/A,THEMIS SOLUTION INC PP,TC0IKXPT0,None,CORP EC,14210986,0.1
136,Structure Therapeutics Inc,STRUCTURE THERAPEUTICS INC,86366E106,None,CORP EC,13978434,0.1
137,N/A,TRUMID HLDGS LLC J-A CVT PFD,000000000,None,CORP EP,13149581,0.1
138,N/A,TRUMID HLDGS LLC J-B CVT PFD,000000000,None,CORP EP,13149581,0.1
139,Rocket Pharmaceuticals Inc,ROCKET PHARMACEUTICALS INC,77313F106,None,CORP EC,12664652,0.1
140,Immunovant Inc,IMMUNOVANT INC,45258J102,None,CORP EC,12644837,0.1
141,Viridian Therapeutics Inc,VIRIDIAN THERAPEUTICS INC,92790C104,None,CORP EC,11901024,0.1
142,Legend Biotech Corp,LEGEND BIOTECH CORP,52490G102,None,CORP EC,11811857,0.1
143,N/A,THEMIS SOL (CLIO) SR E CVT PFD STOCK PP,TC1Y9MK33,None,CORP EP,11395518,0.1
144,N/A,FLEXE SERIES C CVT PFD STOCK,000000000,None,CORP EP,11121754,0.1
145,IGM Biosciences Inc,IGM BIOSCIENCES INC,449585108,None,CORP EC,10854855,0.1
146,Centessa Pharmaceuticals PLC,CENTESSA PHARMACEUTICALS PLC,152309100,None,CORP EC,10797686,0.1
147,Viking Holdings Ltd,VIKING HOLDINGS LTD,000000000,None,CORP EC,10737422,0.1
148,N/A,ADARX PHARMA SER C CVT PFD STOCK PP,TC2TMS938,None,CORP EP,10268652,0.1
149,Bicara Therapeutics Inc,BICARA THERAPEUTICS INC,055477103,None,CORP EC,10260833,0.1
150,Duolingo Inc,DUOLINGO INC,26603R106,None,CORP EC,10196385,0.1
151,Encompass Health Corp,ENCOMPASS HEALTH CORP,29261A100,None,CORP EC,10112325,0.1
152,N/A,TESSERA THERAPEUTICS SR C CVT PFD STK PP,000000000,None,CORP EP,9702073,0.0
153,ServiceTitan Inc,SERVICETITAN INC,81764X103,None,CORP EC,9337407,0.0
154,Cargo Therapeutics Inc,CARGO THERAPEUTICS INC,14179K101,None,CORP EC,9268484,0.0
155,Onestream Inc,ONESTREAM INC,68278B107,None,CORP EC,8924022,0.0
