,Name,Title,Cusip,Ticker,Category,Value,Pct
0,JPMorgan Chase & Co,JPMORGAN CHASE & CO,46625H100,None,CORP EC,1016475393,3.5
1,Berkshire Hathaway Inc,BERKSHIRE HATHAWAY INC,084670702,None,CORP EC,1010255506,3.5
2,Kenvue Inc,KENVUE INC,49177J102,None,CORP EC,795896786,2.7
3,Bank of America Corp,BANK OF AMERICA CORP,060505104,None,CORP EC,654480854,2.2
4,Fiserv Inc,FISERV INC,337738108,None,CORP EC,626228211,2.1
5,UnitedHealth Group Inc,UNITEDHEALTH GROUP INC,91324P102,None,CORP EC,595716924,2.0
6,Keysight Technologies Inc,KEYSIGHT TECHNOLOGIES INC,49338L103,None,CORP EC,532389663,1.8
7,Charles Schwab Corp/The,CHARLES SCHWAB CORP/THE,808513105,None,CORP EC,525509115,1.8
8,Elevance Health Inc,ELEVANCE HEALTH INC,036752103,None,CORP EC,507124617,1.7
9,Westinghouse Air Brake Technologies Corp,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,929740108,None,CORP EC,465093467,1.6
10,American Express Co,AMERICAN EXPRESS CO,025816109,None,CORP EC,450460442,1.5
11,Xcel Energy Inc,XCEL ENERGY INC,98389B100,None,CORP EC,438993096,1.5
12,AMETEK Inc,AMETEK INC,031100100,None,CORP EC,437915713,1.5
13,ConocoPhillips,CONOCOPHILLIPS,20825C104,None,CORP EC,430546158,1.5
14,Deere & Co,DEERE & CO,244199105,None,CORP EC,429382664,1.5
15,Exxon Mobil Corp,EXXON MOBIL CORP,30231G102,None,CORP EC,426123603,1.5
16,Cencora Inc,CENCORA INC,03073E105,None,CORP EC,425435175,1.5
17,AstraZeneca PLC,ASTRAZENECA PLC,046353108,None,CORP EC,416689706,1.4
18,Texas Instruments Inc,TEXAS INSTRUMENTS INC,882508104,None,CORP EC,410435201,1.4
19,Walmart Inc,WALMART INC,931142103,None,CORP EC,388331889,1.3
20,Procter & Gamble Co/The,PROCTER & GAMBLE CO/THE,742718109,None,CORP EC,381793872,1.3
21,International Paper Co,INTERNATIONAL PAPER CO,460146103,None,CORP EC,377925816,1.3
22,McDonald s Corp,MCDONALD'S CORP,580135101,None,CORP EC,374900242,1.3
23,Range Resources Corp,RANGE RESOURCES CORP,75281A109,None,CORP EC,371271000,1.3
24,Sherwin-Williams Co/The,SHERWIN-WILLIAMS CO/THE,824348106,None,CORP EC,351731350,1.2
25,Keurig Dr Pepper Inc,KEURIG DR PEPPER INC,49271V100,None,CORP EC,351104555,1.2
26,Norfolk Southern Corp,NORFOLK SOUTHERN CORP,655844108,None,CORP EC,347231609,1.2
27,Thermo Fisher Scientific Inc,THERMO FISHER SCIENTIFIC INC,883556102,None,CORP EC,333982458,1.1
28,Chevron Corp,CHEVRON CORP,166764100,None,CORP EC,333091734,1.1
29,Colgate-Palmolive Co,COLGATE-PALMOLIVE CO,194162103,None,CORP EC,332371415,1.1
30,Ameren Corp,AMEREN CORP,023608102,None,CORP EC,328320091,1.1
31,Coca-Cola Co/The,COCA-COLA CO/THE,191216100,None,CORP EC,323793465,1.1
32,AutoZone Inc,AUTOZONE INC,053332102,None,CORP EC,321231044,1.1
33,Exelon Corp,EXELON CORP,30161N101,None,CORP EC,320719148,1.1
34,Revvity Inc,REVVITY INC,714046109,None,CORP EC,317376986,1.1
35,Johnson & Johnson,JOHNSON & JOHNSON,478160104,None,CORP EC,315278253,1.1
36,Schlumberger NV,SCHLUMBERGER NV,806857108,None,CORP EC,312167999,1.1
37,Rockwell Automation Inc,ROCKWELL AUTOMATION INC,773903109,None,CORP EC,305777581,1.0
38,Union Pacific Corp,UNION PACIFIC CORP,907818108,None,CORP EC,305138044,1.0
39,T-Mobile US Inc,T-MOBILE US INC,872590104,None,CORP EC,300288376,1.0
40,Linde PLC,LINDE PLC,000000000,None,CORP EC,289330277,1.0
41,Public Storage,PUBLIC STORAGE,74460D109,None,CORP EC,281664643,1.0
42,Booking Holdings Inc,BOOKING HOLDINGS INC,09857L108,None,CORP EC,275672784,0.9
43,TE Connectivity PLC,TE CONNECTIVITY PLC,000000000,None,CORP EC,273358926,0.9
44,Allstate Corp/The,ALLSTATE CORP/THE,020002101,None,CORP EC,271823104,0.9
45,Travelers Cos Inc/The,TRAVELERS COS INC/THE,89417E109,None,CORP EC,260250088,0.9
46,Comcast Corp,COMCAST CORP,20030N101,None,CORP EC,257301777,0.9
47,Boeing Co/The,BOEING CO/THE,097023105,None,CORP EC,256312638,0.9
48,Tenet Healthcare Corp,TENET HEALTHCARE CORP,88033G407,None,CORP EC,250257665,0.9
49,EQT Corp,EQT CORP,26884L109,None,CORP EC,249913065,0.9
50,Republic Services Inc,REPUBLIC SERVICES INC,760759100,None,CORP EC,243931957,0.8
51,CME Group Inc,CME GROUP INC,12572Q105,None,CORP EC,232139895,0.8
52,Home Depot Inc/The,HOME DEPOT INC/THE,437076102,None,CORP EC,231502342,0.8
53,L3Harris Technologies Inc,L3HARRIS TECHNOLOGIES INC,502431109,None,CORP EC,227366512,0.8
54,Diamondback Energy Inc,DIAMONDBACK ENERGY INC,25278X109,None,CORP EC,220997823,0.8
55,Visa Inc,VISA INC,92826C839,None,CORP EC,218383324,0.7
56,Corebridge Financial Inc,COREBRIDGE FINANCIAL INC,21871X109,None,CORP EC,217984889,0.7
57,Old Dominion Freight Line Inc,OLD DOMINION FREIGHT LINE INC,679580100,None,CORP EC,214138134,0.7
58,Advanced Micro Devices Inc,ADVANCED MICRO DEVICES INC,007903107,None,CORP EC,213831396,0.7
59,Becton Dickinson & Co,BECTON DICKINSON & CO,075887109,None,CORP EC,213403224,0.7
60,Cummins Inc,CUMMINS INC,231021106,None,CORP EC,212187591,0.7
61,Ross Stores Inc,ROSS STORES INC,778296103,None,CORP EC,211389539,0.7
62,Parker-Hannifin Corp,PARKER-HANNIFIN CORP,701094104,None,CORP EC,205599878,0.7
63,General Electric Co,GENERAL ELECTRIC CO,369604301,None,CORP EC,202192178,0.7
64,Atmos Energy Corp,ATMOS ENERGY CORP,049560105,None,CORP EC,202142884,0.7
65,Regeneron Pharmaceuticals Inc,REGENERON PHARMACEUTICALS INC,75886F107,None,CORP EC,198181603,0.7
66,General Dynamics Corp,GENERAL DYNAMICS CORP,369550108,None,CORP EC,195170732,0.7
67,Cie Financiere Richemont SA,CIE FINANCIERE RICHEMONT SA,000000000,None,CORP EC,193105312,0.7
68,Corpay Inc,CORPAY INC,219948106,None,CORP EC,186897860,0.6
69,Analog Devices Inc,ANALOG DEVICES INC,032654105,None,CORP EC,186465944,0.6
