,Name,Title,Cusip,Ticker,Category,Value,Pct
0,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund - Collateral,76105YYY8,None,RF STIV,234184513,4.1
1,BAWAG Group AG,BAWAG GROUP AG,000000000,None,CORP EC,134085674,2.4
2,MercadoLibre Inc,MERCADOLIBRE INC,58733R102,None,CORP EC,111010317,2.0
3,Redcare Pharmacy NV,REDCARE PHARMACY NV,SBYYH7G96,None,CORP EC,87205273,1.5
4,SPIE SA,SPIE SA,000000000,None,CORP EC,83832259,1.5
5,Amplifon SpA,AMPLIFON SPA,000000000,None,CORP EC,70270423,1.2
6,FPT Corp,FPT CORP,000000000,None,CORP EC,66415571,1.2
7,Spirax Group PLC,SPIRAX GROUP PLC,000000000,None,CORP EC,64331277,1.1
8,Descartes Systems Group Inc/The,DESCARTES SYSTEMS GROUP INC/THE,000000000,None,CORP EC,57534695,1.0
9,flatexDEGIRO AG,FLATEXDEGIRO AG,000000000,None,CORP EC,55076822,1.0
10,Taiheiyo Cement Corp,TAIHEIYO CEMENT CORP,000000000,None,CORP EC,52752947,0.9
11,Rotork PLC,ROTORK PLC,000000000,None,CORP EC,50242736,0.9
12,Toyo Tire Corp,TOYO TIRE CORP,000000000,None,CORP EC,50055040,0.9
13,Croda International PLC,CRODA INTERNATIONAL PLC,000000000,None,CORP EC,49488684,0.9
14,Auction Technology Group PLC,AUCTION TECHNOLOGY GROUP PLC,000000000,None,CORP EC,48141748,0.8
15,IMCD NV,IMCD NV,000000000,None,CORP EC,47181506,0.8
16,Planisware SA,PLANISWARE SA,000000000,None,CORP EC,46929170,0.8
17,China Resources Mixc Lifestyle Services Ltd,CHINA RESOURCES MIXC LIFESTYLE SERVICES LTD,000000000,None,CORP EC,46906638,0.8
18,Montana Aerospace AG,MONTANA AEROSPACE AG,000000000,None,CORP EC,45456167,0.8
19,Aritzia Inc,ARITZIA INC,000000000,None,CORP EC,45215948,0.8
20,Laboratorios Farmaceuticos Rovi SA,LABORATORIOS FARMACEUTICOS ROVI SA,000000000,None,CORP EC,45145505,0.8
21,Subsea 7 SA,SUBSEA 7 SA,000000000,None,CORP EC,44408990,0.8
22,Aiful Corp,AIFUL CORP,000000000,None,CORP EC,42915694,0.8
23,Intermediate Capital Group PLC,INTERMEDIATE CAPITAL GROUP PLC,000000000,None,CORP EC,42911026,0.8
24,Nippon Soda Co Ltd,NIPPON SODA CO LTD,000000000,None,CORP EC,41417472,0.7
25,FinecoBank Banca Fineco SpA,FINECOBANK BANCA FINECO SPA,000000000,None,CORP EC,41215915,0.7
26,Hanwa Co Ltd,HANWA CO LTD,000000000,None,CORP EC,40955759,0.7
27,Sakata INX Corp,SAKATA INX CORP,000000000,None,CORP EC,40791377,0.7
28,AtkinsRealis Group Inc,ATKINSREALIS GROUP INC,04764T104,None,CORP EC,40100228,0.7
29,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund,76105Y109,None,RF STIV,39638067,0.7
