,Name,Title,Cusip,Ticker,Category,Value,Pct
0,Apple Inc,APPLE INC,037833100,None,CORP EC,1573499295,8.1
1,NVIDIA Corp,NVIDIA CORP,67066G104,None,CORP EC,1424608885,7.4
2,Microsoft Corp,MICROSOFT CORP,594918104,None,CORP EC,1096873665,5.7
3,Amazon.com Inc,AMAZON.COM INC,023135106,None,CORP EC,974416736,5.0
4,Alphabet Inc,ALPHABET INC,02079K107,None,CORP EC,651707961,3.4
5,Visa Inc,VISA INC,92826C839,None,CORP EC,561219723,2.9
6,JPMorgan Chase & Co,JPMORGAN CHASE & CO,46625H100,None,CORP EC,379554417,2.0
7,UnitedHealth Group Inc,UNITEDHEALTH GROUP INC,91324P102,None,CORP EC,362892329,1.9
8,Netflix Inc,NETFLIX INC,64110L106,None,CORP EC,320102426,1.7
9,Eli Lilly & Co,ELI LILLY & CO,532457108,None,CORP EC,311263452,1.6
10,Thermo Fisher Scientific Inc,THERMO FISHER SCIENTIFIC INC,883556102,None,CORP EC,294512087,1.5
11,Salesforce Inc,SALESFORCE INC,79466L302,None,CORP EC,256624353,1.3
12,Analog Devices Inc,ANALOG DEVICES INC,032654105,None,CORP EC,245419345,1.3
13,Coca-Cola Co/The,COCA-COLA CO/THE,191216100,None,CORP EC,241387250,1.2
14,Procter & Gamble Co/The,PROCTER & GAMBLE CO/THE,742718109,None,CORP EC,237818566,1.2
15,Walmart Inc,WALMART INC,931142103,None,CORP EC,235619157,1.2
16,Progressive Corp/The,PROGRESSIVE CORP/THE,743315103,None,CORP EC,227252593,1.2
17,Quest Diagnostics Inc,QUEST DIAGNOSTICS INC,74834L100,None,CORP EC,222013421,1.1
18,Goldman Sachs Group Inc/The,GOLDMAN SACHS GROUP INC/THE,38141G104,None,CORP EC,219464059,1.1
19,Keurig Dr Pepper Inc,KEURIG DR PEPPER INC,49271V100,None,CORP EC,217792454,1.1
20,Deere & Co,DEERE & CO,244199105,None,CORP EC,216605609,1.1
21,AMETEK Inc,AMETEK INC,031100100,None,CORP EC,212690757,1.1
22,AbbVie Inc,ABBVIE INC,00287Y109,None,CORP EC,211039896,1.1
23,Cencora Inc,CENCORA INC,03073E105,None,CORP EC,208591564,1.1
24,TE Connectivity PLC,TE CONNECTIVITY PLC,000000000,None,CORP EC,203625594,1.1
