,Name,Title,Cusip,Ticker,Category,Value,Pct
0,Wells Fargo & Co,WELLS FARGO & CO,949746101,None,CORP EC,390885600,2.3
1,MetLife Inc,METLIFE INC,59156R108,None,CORP EC,365184800,2.2
2,Southern Co/The,SOUTHERN CO/THE,842587107,None,CORP EC,338746800,2.0
3,QUALCOMM Inc,QUALCOMM INC,747525103,None,CORP EC,318761500,1.9
4,General Electric Co,GENERAL ELECTRIC CO,369604301,None,CORP EC,312731250,1.9
5,Chubb Ltd,CHUBB LTD,000000000,None,CORP EC,311113800,1.8
6,Elevance Health Inc,ELEVANCE HEALTH INC,036752103,None,CORP EC,302129100,1.8
7,American International Group Inc,AMERICAN INTERNATIONAL GROUP INC,026874784,None,CORP EC,301756000,1.8
8,Charles Schwab Corp/The,CHARLES SCHWAB CORP/THE,808513105,None,CORP EC,300454845,1.8
9,Becton Dickinson & Co,BECTON DICKINSON & CO,075887109,None,CORP EC,289259250,1.7
10,L3Harris Technologies Inc,L3HARRIS TECHNOLOGIES INC,502431109,None,CORP EC,283878000,1.7
11,Philip Morris International Inc,PHILIP MORRIS INTERNATIONAL INC,718172109,None,CORP EC,283424250,1.7
12,International Paper Co,INTERNATIONAL PAPER CO,460146103,None,CORP EC,282285900,1.7
13,News Corp,NEWS CORP,65249B109,None,CORP EC,282009600,1.7
14,Kenvue Inc,KENVUE INC,49177J102,None,CORP EC,281286250,1.7
15,JPMorgan Chase & Co,JPMORGAN CHASE & CO,46625H100,None,CORP EC,279262150,1.7
16,Kimberly-Clark Corp,KIMBERLY-CLARK CORP,494368103,None,CORP EC,273218400,1.6
17,Equitable Holdings Inc,EQUITABLE HOLDINGS INC,29452E101,None,CORP EC,266746350,1.6
18,CF Industries Holdings Inc,CF INDUSTRIES HOLDINGS INC,125269100,None,CORP EC,258007680,1.5
19,Exxon Mobil Corp,EXXON MOBIL CORP,30231G102,None,CORP EC,257630150,1.5
20,Zimmer Biomet Holdings Inc,ZIMMER BIOMET HOLDINGS INC,98956P102,None,CORP EC,257292603,1.5
21,Citigroup Inc,CITIGROUP INC,172967424,None,CORP EC,249884500,1.5
22,Microsoft Corp,MICROSOFT CORP,594918104,None,CORP EC,243627000,1.4
23,Equity Residential,EQUITY RESIDENTIAL,29476L107,None,CORP EC,240754800,1.4
24,TotalEnergies SE,TOTALENERGIES SE,000000000,None,CORP EC,240688274,1.4
25,Weyerhaeuser Co,WEYERHAEUSER CO,962166104,None,CORP EC,234870876,1.4
26,Hartford Financial Services Group Inc/The,HARTFORD FINANCIAL SERVICES GROUP INC/THE,416515104,None,CORP EC,228099000,1.4
27,UnitedHealth Group Inc,UNITEDHEALTH GROUP INC,91324P102,None,CORP EC,223590120,1.3
28,Walmart Inc,WALMART INC,931142103,None,CORP EC,222261000,1.3
29,Huntington Bancshares Inc/OH,HUNTINGTON BANCSHARES INC/OH,446150104,None,CORP EC,220133100,1.3
30,Stanley Black & Decker Inc,STANLEY BLACK & DECKER INC,854502101,None,CORP EC,217585900,1.3
31,Fiserv Inc,FISERV INC,337738108,None,CORP EC,211582600,1.3
32,Las Vegas Sands Corp,LAS VEGAS SANDS CORP,517834107,None,CORP EC,198763200,1.2
