,Name,Title,Cusip,Ticker,Category,Value,Pct
0,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund - Collateral,76105YYY8,None,RF STIV,290707636,2.8
1,Pinnacle Financial Partners Inc,PINNACLE FINANCIAL PARTNERS INC,72346Q104,None,CORP EC,170912158,1.6
2,PennyMac Financial Services Inc,PENNYMAC FINANCIAL SERVICES INC,70932M107,None,CORP EC,143467376,1.4
3,TechnipFMC PLC,TECHNIPFMC PLC,000000000,None,CORP EC,136659716,1.3
4,Columbia Banking System Inc,COLUMBIA BANKING SYSTEM INC,197236102,None,CORP EC,136271392,1.3
5,Matador Resources Co,MATADOR RESOURCES CO,576485205,None,CORP EC,122943403,1.2
6,SouthState Corp,SOUTHSTATE CORP,840441109,None,CORP EC,121982575,1.2
7,Houlihan Lokey Inc,HOULIHAN LOKEY INC,441593100,None,CORP EC,111209780,1.1
8,East West Bancorp Inc,EAST WEST BANCORP INC,27579R104,None,CORP EC,104721987,1.0
9,Terreno Realty Corp,TERRENO REALTY CORP,88146M101,None,CORP EC,98262411,0.9
10,TXNM Energy Inc,TXNM ENERGY INC,69349H107,None,CORP EC,97863739,0.9
11,T. Rowe Price Government Reserve Fund,T. Rowe Price Government Reserve Fund,76105Y109,None,RF STIV,96925959,0.9
12,Live Oak Bancshares Inc,LIVE OAK BANCSHARES INC,53803X105,None,CORP EC,96830898,0.9
13,Western Alliance Bancorp,WESTERN ALLIANCE BANCORP,957638109,None,CORP EC,95864071,0.9
14,Webster Financial Corp,WEBSTER FINANCIAL CORP,947890109,None,CORP EC,94389203,0.9
15,Texas Capital Bancshares Inc,TEXAS CAPITAL BANCSHARES INC,88224Q107,None,CORP EC,91613411,0.9
16,Essential Properties Realty Trust Inc,ESSENTIAL PROPERTIES REALTY TRUST INC,29670E107,None,CORP EC,88574168,0.8
17,Strategic Education Inc,STRATEGIC EDUCATION INC,86272C103,None,CORP EC,86608187,0.8
18,Towne Bank/Portsmouth VA,TOWNE BANK/PORTSMOUTH VA,89214P109,None,CORP EC,85995301,0.8
19,ONE Gas Inc,ONE GAS INC,68235P108,None,CORP EC,85820486,0.8
20,Independence Realty Trust Inc,INDEPENDENCE REALTY TRUST INC,45378A106,None,CORP EC,84053827,0.8
21,Mirion Technologies Inc,MIRION TECHNOLOGIES INC,60471A101,None,CORP EC,82838308,0.8
22,Expand Energy Corp,EXPAND ENERGY CORP,165167735,None,CORP EC,82467021,0.8
23,Carvana Co,CARVANA CO,146869102,None,CORP EC,80692638,0.8
24,Home BancShares Inc/AR,HOME BANCSHARES INC/AR,436893200,None,CORP EC,80301278,0.8
25,FB Financial Corp,FB FINANCIAL CORP,30257X104,None,CORP EC,80198031,0.8
26,Chesapeake Utilities Corp,CHESAPEAKE UTILITIES CORP,165303108,None,CORP EC,77223621,0.7
27,Popular Inc,POPULAR INC,733174700,None,CORP EC,75894004,0.7
28,EastGroup Properties Inc,EASTGROUP PROPERTIES INC,277276101,None,CORP EC,74726391,0.7
29,Reliance Inc,RELIANCE INC,759509102,None,CORP EC,74422387,0.7
30,HA Sustainable Infrastructure Capital Inc,HA SUSTAINABLE INFRASTRUCTURE CAPITAL INC,41068X100,None,CORP EC,73257303,0.7
31,Range Resources Corp,RANGE RESOURCES CORP,75281A109,None,CORP EC,72677189,0.7
32,New York Times Co/The,NEW YORK TIMES CO/THE,650111107,None,CORP EC,72379273,0.7
33,BellRing Brands Inc,BELLRING BRANDS INC,07831C103,None,CORP EC,71112974,0.7
34,Esab Corp,ESAB CORP,29605J106,None,CORP EC,70797104,0.7
35,WSFS Financial Corp,WSFS FINANCIAL CORP,929328102,None,CORP EC,70655249,0.7
36,Kilroy Realty Corp,KILROY REALTY CORP,49427F108,None,CORP EC,69893231,0.7
37,Walker & Dunlop Inc,WALKER & DUNLOP INC,93148P102,None,CORP EC,67706376,0.6
38,Peloton Interactive Inc,PELOTON INTERACTIVE INC,70614W100,None,CORP EC,67590413,0.6
39,CubeSmart,CUBESMART,229663109,None,CORP EC,67012729,0.6
40,Ryan Specialty Holdings Inc,RYAN SPECIALTY HOLDINGS INC,78351F107,None,CORP EC,65168531,0.6
41,Coastal Financial Corp/WA,COASTAL FINANCIAL CORP/WA,19046P209,None,CORP EC,64509269,0.6
42,RBC Bearings Inc,RBC BEARINGS INC,75524B104,None,CORP EC,64476037,0.6
43,IDACORP Inc,IDACORP INC,451107106,None,CORP EC,64013164,0.6
44,Landstar System Inc,LANDSTAR SYSTEM INC,515098101,None,CORP EC,63263728,0.6
45,Element Solutions Inc,ELEMENT SOLUTIONS INC,28618M106,None,CORP EC,62718441,0.6
46,Prosperity Bancshares Inc,PROSPERITY BANCSHARES INC,743606105,None,CORP EC,61849314,0.6
47,Viavi Solutions Inc,VIAVI SOLUTIONS INC,925550105,None,CORP EC,61824534,0.6
48,Concentra Group Holdings Parent Inc,CONCENTRA GROUP HOLDINGS PARENT INC,20603L102,None,CORP EC,61232689,0.6
49,Cytokinetics Inc,CYTOKINETICS INC,23282W605,None,CORP EC,60984914,0.6
50,Enerflex Ltd,ENERFLEX LTD,000000000,None,CORP EC,60252133,0.6
51,Constellium SE,CONSTELLIUM SE,000000000,None,CORP EC,60197338,0.6
52,Cactus Inc,CACTUS INC,127203107,None,CORP EC,59789645,0.6
53,UFP Industries Inc,UFP INDUSTRIES INC,90278Q108,None,CORP EC,59642092,0.6
54,Eastern Bankshares Inc,EASTERN BANKSHARES INC,27627N105,None,CORP EC,58892690,0.6
55,Magnolia Oil & Gas Corp,MAGNOLIA OIL & GAS CORP,559663109,None,CORP EC,58271634,0.6
56,UMH Properties Inc,UMH PROPERTIES INC,903002103,None,CORP EC,57446705,0.5
57,Permian Resources Corp,PERMIAN RESOURCES CORP,71424F105,None,CORP EC,57022021,0.5
58,Preferred Bank/Los Angeles CA,PREFERRED BANK/LOS ANGELES CA,740367404,None,CORP EC,56839768,0.5
59,Pebblebrook Hotel Trust,PEBBLEBROOK HOTEL TRUST,70509V100,None,CORP EC,56729378,0.5
60,Highwoods Properties Inc,HIGHWOODS PROPERTIES INC,431284108,None,CORP EC,56473340,0.5
61,National Bank Holdings Corp,NATIONAL BANK HOLDINGS CORP,633707104,None,CORP EC,56173449,0.5
62,QuidelOrtho Corp,QUIDELORTHO CORP,219798105,None,CORP EC,56040915,0.5
63,NETSTREIT Corp,NETSTREIT CORP,64119V303,None,CORP EC,55933167,0.5
64,OGE Energy Corp,OGE ENERGY CORP,670837103,None,CORP EC,54846990,0.5
65,MACOM Technology Solutions Holdings Inc,MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,55405Y100,None,CORP EC,54327712,0.5
66,Moog Inc,MOOG INC,615394202,None,CORP EC,53438320,0.5
